neighbourhood,avgPrice,hostCount
Upper West Side,211.66137295081967,1574
Van Nest,113.81818181818181,7
Vinegar Hill,183.75757575757575,31
Wakefield,85.58,41
Washington Heights,89.98529411764706,752
West Brighton,80.55555555555556,9
West Farms,122.0,2
West Village,264.8050065876153,689
Westchester Square,122.2,7
Westerleigh,71.5,2
Whitestone,107.54545454545455,8
Williamsbridge,96.75,27
Williamsburg,143.5416238437821,3346
Willowbrook,249.0,1
Windsor Terrace,138.05161290322582,134
Woodhaven,67.17045454545455,45
Woodlawn,60.09090909090909,9
Woodrow,700.0,1
Woodside,85.09787234042552,147
